id,miR1,miR2,miR3,miR4,miR5,miR6,miR7,miR8,miR9,miR10,miR11,miR12,miR13,miR14,miR15,miR16,miR17,miR18,miR19,miR20,miR21,miR22,miR23,miR24,miR25,miR26,miR27,miR28,miR29,miR30,miR31,miR32,miR33,miR34,miR35,miR36,miR37,miR38,miR39,miR40,miR41,miR42,miR43,miR44,miR45,miR46,miR47,miR48,miR49,miR50,miR51,miR52,miR53,miR54,miR55,miR56,miR57,miR58,miR59,miR60,miR61,miR62,miR63,miR64,miR65,miR66,miR67,miR68,miR69,miR70,miR71,miR72,miR73,miR74,miR75,miR76,miR77,miR78,miR79,miR80,miR81,miR82,miR83,miR84,miR85,miR86,miR87,miR88,miR89,miR90,miR91,miR92,miR93,miR94,miR95,miR96,miR97,miR98,miR99,miR100,miR101,miR102,miR103,miR104,miR105,miR106,miR107,miR108,miR109,miR110,miR111,miR112,miR113,miR114,miR115,miR116,miR117,miR118,miR119,miR120,miR121,miR122,miR123,miR124,miR125,miR126,miR127,miR128,miR129,miR130,miR131,miR132,miR133,miR134,miR135,miR136,miR137,miR138,miR139,miR140,miR141,miR142,miR143,miR144,miR145,miR146,miR147,miR148,miR149,miR150,miR151,miR152,miR153,miR154,miR155,miR156,miR157,miR158,miR159,miR160,miR161,miR162,miR163,miR164,miR165,miR166,miR167,miR168,miR169,miR170,miR171,miR172,miR173,miR174,miR175,miR176,miR177,miR178,miR179,miR180,miR181,miR182,miR183,miR184,miR185,miR186,miR187,miR188,miR189,miR190,miR191,miR192,miR193,miR194,miR195,miR196,miR197,miR198,miR199,miR200,miR201,miR202,miR203,miR204,miR205,miR206,miR207,miR208,miR209,miR210,miR211,miR212,miR213,miR214,miR215,miR216,miR217,miR218,miR219,miR220,miR221,miR222,miR223,miR224,miR225,miR226,miR227,miR228,miR229,miR230,miR231,miR232,miR233,miR234,miR235,miR236,miR237,miR238,miR239,miR240,miR241,miR242,miR243,miR244,miR245,miR246,miR247,miR248,miR249,miR250,miR251,miR252,miR253,miR254,miR255,miR256,miR257,miR258,miR259,miR260,miR261,miR262,miR263,miR264,miR265,miR266,miR267,miR268,miR269,miR270,miR271,miR272,miR273,miR274,miR275,miR276,miR277,miR278,miR279,miR280,miR281,miR282,miR283,miR284,miR285,miR286,miR287,miR288,Class
S1,27.49620945,5757.420584,20.35433687,572.4210877,23.2110859,0,0,0.178546815,0.178546815,0,0,0,0,0,0,0.178546815,0,7.141872585,0,0,0,0,1.785468146,0,0,0.357093629,0,0.535640444,0.357093629,1.785468146,0,0,0.178546815,0,0,0,0,0,0,0,0,0,0,0,0.357093629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178546815,0,0,0,0.357093629,0,0.178546815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535640444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.213842663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.856749034,740.7907338,0,8.034606658,0,0,0,1.428374517,0,0,0,0,0,9.462981175,0.178546815,0,0,0.892734073,58.20626157,0,0.178546815,0.178546815,1.428374517,0,16.96194739,0.357093629,0,0,0,0,0,0.714187258,3.213842663,0.535640444,0,0,0,0.535640444,0.357093629,0,0,0,0.357093629,0.714187258,3.928029922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106576736,5.534951253,29.10313078,0.178546815,0,0,0,0,0,27.13911582,0.178546815,2.142561775,0.357093629,0,0,0,16.06921332,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285123551,0,97945.78319,287.996012,0.178546815,0.714187258,25.53219449,0,0,807.0316021,0,0.714187258,0,0,0,0,1.071280888,0.892734073,1515.862456,0.178546815,17.67613465,0.714187258,0.178546815,0,0.178546815,0.714187258,0,0,12.31973021,16.78340057,99.62912256,0.357093629,28.03184989,2.856749034,711.3305094,1
S2,17.48705213,12211.47881,13.34973696,1326.064677,33.25022295,0,0,0,0.110328405,0.096537354,0,0,0,0,0.041373152,0.055164202,0.330985214,5.350927625,0,0,0.124119455,0,1.599761867,0,0,0.055164202,0,0.027582101,0.124119455,1.075701945,0,0,0.496477821,0,0,0,0,0,0,0,0,0,0.110328405,0,0,0,0.027582101,0.206865759,0.027582101,0.027582101,0.013791051,0.082746303,0,0.027582101,0,0,0,0,0.151701556,0.013791051,0,0.413731517,0.068955253,0,0,0.275821012,0,0.082746303,0.027582101,0.082746303,0,0,0,0,0.027582101,0.096537354,0,0.013791051,0,0.027582101,0,0.23444786,0,0,0.013791051,0.137910506,0,0.013791051,0,0.041373152,0,0,0.013791051,0,0,0,0.068955253,0,0,0,0,0,0,0,0,0,0,0,0.027582101,4.606210893,0,0.096537354,0.055164202,0,0,0,0,0,0,0.027582101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055164202,3.006449026,541.0918695,0,13.99791634,0.151701556,0,0.24823891,1.42047821,0,0,0,0.386149416,0,10.70185525,1.006746692,0,0,0.151701556,37.84264279,0,0,0.013791051,0.799880934,0.013791051,18.76961984,0.041373152,0,0,0.068955253,0.027582101,0.041373152,1.048119844,2.068657587,0,0,0.055164202,0.013791051,0.372358366,0.524059922,0.082746303,0,0,0,2.813374318,3.627046302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068955253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772298832,0.882627237,11.01904941,0.46889572,0,0,0,0,0.013791051,27.09941439,0,0.344776264,0.082746303,0,0,0.027582101,14.74263307,0.082746303,0,0,0.013791051,0,0,0,0,0,0,0,0,0,1.779045525,0.013791051,96126.83585,187.2962579,0.110328405,0.23444786,32.36759571,0,0.041373152,1339.497161,0,0.386149416,0,0,0,0.46889572,0.372358366,0.620597276,315.6771478,0.23444786,24.07917431,0.262029961,0,0,0.179283658,0.013791051,1.448060311,0,58.52921866,7.722988324,173.8086104,0.055164202,11.76376614,1.530806614,399.8301384,1
S3,51.48037021,44465.24351,25.5451837,2590.544879,240.0954766,0,0,0,0.438753155,0.243751753,0,0,0,0.048750351,0.146251052,0.097500701,0.585004207,12.28508835,0,0,0.633754557,0.87750631,4.095029448,0,0,0.097500701,0,0.097500701,0,2.291266477,0,0,0.146251052,0,0,0.146251052,0,0,0,0,0,0,0,0,0,0,0,0.438753155,0,0.82875596,0.048750351,0.243751753,0,0,0.048750351,0,0,0.048750351,0,0,0,1.462510517,0,0,0,0.292502103,0.146251052,0.195001402,0,0,0,0,0,0,0.048750351,0.146251052,0,0.048750351,0,0.243751753,0,0.341252454,0,0,0,0.195001402,0.048750351,0.048750351,0.048750351,0,0,0,0,0,0,0,0,0,0,0,0.097500701,0,0,0,0,0,0,0,0.048750351,6.825049081,0,0.292502103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341252454,7.800056092,2041.810933,0,31.49272647,0.292502103,0,0,4.875035058,0,0.048750351,0,0.097500701,0,26.66644177,2.681269282,0,0,0.195001402,116.952091,0,0.195001402,0.146251052,1.852513322,0,11.26133098,0,0,0,0,0,0.097500701,4.680033655,7.897556793,0.341252454,0.048750351,0,0.243751753,0.780005609,2.047514724,0.146251052,0,0,0,1.70626227,15.16135903,0,0,0,0,0,0,0,0,0,0,0,0.146251052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82875596,1.121258063,13.89384991,0.487503506,0,0,0,0,0.048750351,51.52912056,0,0.926256661,0.048750351,0,0,0,49.23785408,0.438753155,0,0,0.243751753,0,0,0,0,0,0,0,0,0,4.046279098,0,157316.6988,313.4160039,0.487503506,0.82875596,42.90030851,0,0.390002805,1610.175329,0,1.560011218,0,0,0.146251052,0.926256661,0.292502103,1.413760167,1885.176057,0.146251052,42.2178036,0.682504908,0,0,0.292502103,0,2.778769983,0,16.23386674,34.41774751,617.4719404,0.731255259,14.47885412,15.30761008,2049.805991,1
S4,38.59559106,10638.76116,27.0375531,698.4357228,32.61017854,0,0,0.206393535,0,0,0,0,0,0,0,0,0.82557414,3.302296562,0,0,0,0,2.476722421,0,0,0,0,0,0.206393535,2.270328886,0,0,0.619180605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206393535,0,0.619180605,0,0,0,0,0,0,0,0,0,0,0.206393535,0.82557414,0,0,0,0.206393535,0,0.206393535,0,0,0,0,0,0,0,0.206393535,0,0,0,0,0,0.206393535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.842954334,0,0.206393535,0,0.41278707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.127870702,716.8047474,0,10.73246382,0,0,0,4.127870702,0,0,0,0.82557414,0,5.159838377,0.619180605,0,0,0,74.92085324,0,0,0.41278707,2.270328886,0.619180605,14.65394099,0,0,0,0,0,0,1.444754746,3.715083632,0.619180605,0,0,0,1.651148281,0.82557414,0,0,0,0,1.857541816,5.159838377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41278707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.302296562,7.430167263,28.48230784,1.238361211,0,0,0,0,0,29.30788198,0,1.651148281,1.031967675,0,0,0,22.9096824,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031967675,0,95482.80917,221.0474761,0.619180605,0,31.57821087,0,0,1133.306901,0,0.82557414,0,0,0.206393535,0.41278707,3.095903026,0,1322.98256,0.206393535,27.0375531,0.619180605,0.206393535,0,1.031967675,0,4.953444842,0,13.20918625,21.05214058,156.4462996,0.206393535,31.7846044,2.063935351,566.5502538,1
S5,17.70309836,3052.382241,18.22893296,336.9723425,13.67169972,0,0,0,0.438195504,0,0,0,0.262917302,0,0,0.087639101,0,1.402225612,0,0,0,0,0.525834605,0,0,0,0,0,0,1.402225612,0,0,0.788751907,0,0,0,0,0,0,0,0,0,0,0,0.262917302,0,0,0.438195504,0,0,0,0,0,0,0,0,0,0,0,0.087639101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087639101,0,0,0,0,0.087639101,0.525834605,0,0,0.175278202,0,0,0,0,0,0,0,0,0,0,0.087639101,0,0,0,0,0,0,0,0,0,1.752782016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051669209,234.6975119,0,3.856120434,0,0,0,0.701112806,0,0,0,0,0,3.41792493,0,0,0,0,24.62658732,0,0,0,0.701112806,0.262917302,12.79530871,0,0,0,0,0,0,0.613473705,1.13930831,0.087639101,0,0,0,0.175278202,0.087639101,0,0,0,0.175278202,1.752782016,2.804451225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051669209,1.577503814,14.98628623,0,0,0,0,0,0,17.17726375,0,2.27861662,0.262917302,0,0,0,4.995428745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876391008,0,126516.0688,240.5693316,0.438195504,0.087639101,18.05365476,0,0,376.3222988,0,0.262917302,0,0,0.087639101,0.262917302,0.262917302,0,1034.141389,0.350556403,15.51212084,0.350556403,0,0,0.087639101,0,0.525834605,0,11.7436395,9.727940187,32.51410639,0.262917302,15.86267724,0.964030109,219.7112257,1
S6,14.57926151,7803.472175,15.50985267,419.2313177,17.83633057,0,0,0,0.077549263,0,0,0,0,0,0.193873158,0,0.310197053,3.877463168,0,0,0,0,0.155098527,0,0,0,0,0.46529558,0.193873158,0.969365792,0,0,0.659168739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271422422,0,0.116323895,0.038774632,0.038774632,0,0,0,0,0,0,0.038774632,0.038774632,0,0.077549263,0.23264779,0,0.038774632,0.038774632,0,0.077549263,0,0,0,0,0,0,0,0,0,0,0,0.116323895,0,0,0.038774632,0,0,0.077549263,0,0,0.077549263,0.038774632,0,0,0,0,0,0,0,0,0,0.038774632,0,0,0,0,0,0,0,0,0,4.459082643,0,0,0,0,0,0,0,0,0,0.155098527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.861182321,276.8896448,0,2.248928638,0.038774632,0,0.116323895,0.891816529,0,0,0,0.23264779,0,3.993787063,0.038774632,0,0,0,35.71143578,0,0.155098527,0,0.348971685,0,12.87317772,0.038774632,0,0,0.116323895,0,0,0.969365792,1.357112109,0.077549263,0,0,0.116323895,0,0.193873158,0.038774632,0,0,0,2.016280847,2.132604742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116323895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038774632,1.124464319,0.93059116,4.691730433,0.348971685,0,0,0,0,0,14.85068393,0,0.46529558,0,0,0,0,6.901884439,0.077549263,0,0,0,0,0,0,0,0,0,0,0,0,1.124464319,0.077549263,129281.5239,185.6917111,0.116323895,0.116323895,19.30976658,0,0,919.2301933,0,0.736718002,0,0,0,0.116323895,0.814267265,0.581619475,609.9249564,0.310197053,30.98093071,0.23264779,0,0,0.193873158,0.077549263,1.16323895,0,29.85646639,9.383460867,71.69429398,0.038774632,7.871250231,1.706083794,166.5370431,1
S7,44.38688858,55043.80847,19.16509907,2623.325682,253.7753298,0,0,0.043262075,0.64893112,0.043262075,0.043262075,0,0,0,0.043262075,0,0,13.32471899,0,0,0.173048299,0,2.595724478,0,0,0.259572448,0.129786224,0.043262075,0.129786224,2.249627881,0,0,0,0,0,0.043262075,0,0,0,0,0,0,0,0,0.216310373,0,0,0.259572448,0,0.173048299,0,0.043262075,0,0.086524149,0.043262075,0,0,0,0,0.086524149,0,1.384386388,0,0,0.043262075,0.173048299,0.129786224,0.086524149,0,0.129786224,0,0.043262075,0,0,0,0.129786224,0,0.086524149,0,0.216310373,0,0.778717344,0,0,0.043262075,0.129786224,0.129786224,0.173048299,0.129786224,0,0,0,0,0,0,0,0,0,0,0.129786224,0,0,0,0,0,0,0,0,0,7.224766465,0,0,0.519144896,0,0,0,0,0,0,0.043262075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043262075,8.738939077,2105.565173,0,30.58628677,0.043262075,0,0.129786224,4.499255763,0,0,0,0.173048299,0,24.52959632,1.427648463,0,0,0.519144896,149.4704679,0,0.086524149,0.129786224,1.21133809,0,12.07011882,0,0,0,0.129786224,0.043262075,0,3.936848792,10.59920829,0.389358672,0.043262075,0.129786224,0.173048299,0.995027717,1.557434687,0.908503567,0,0,0,1.124813941,13.10840862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129786224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081551866,1.081551866,12.15664297,0.389358672,0,0,0,0,0.043262075,55.37545554,0,0.259572448,0.129786224,0,0,0,64.07113254,0.56240697,0,0,0.129786224,0,0,0,0,0,0,0,0,0,4.931876509,0,77384.38708,230.110975,0.043262075,0.778717344,25.48136196,0,0.173048299,1910.669526,0,0.951765642,0,0,0.086524149,0.995027717,0.129786224,0.64893112,1741.082194,0.129786224,25.74093441,0.778717344,0.043262075,0,0.129786224,0,7.397814763,0,4.369469539,34.82597008,971.4931481,0.389358672,14.14669841,19.12183699,1375.950284,1
S8,72.13421661,87077.74223,32.71202846,2378.751608,124.1379542,0,0,1.677539921,0.838769961,0.838769961,0,0,0,0,0,0,0,3.355079843,0,0,0,0,0,0,0,0.838769961,0.838769961,0,0,0.838769961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838769961,0,0,0,0,0,0,0,0,0,0,0,0,0.838769961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838769961,0,0,0,0,0,0,0,0.838769961,0,0,0,0,0,0.838769961,0,0,0,0,0,0,0,0,0,0,0,0,0,66.26282689,0,0.838769961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.193849803,296.0857961,0,3.355079843,0,0,57.87512728,2.516309882,0,0,0,0,0.838769961,75.48929646,1.677539921,0,0,0.838769961,141.7521233,0,0,3.355079843,6.710159685,0,37.74464823,0,0,0,0,0.838769961,0,1.677539921,4.193849803,0,0,0,0.838769961,0,0,0,0,0,0,5.032619764,22.64678894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.355079843,10.06523953,192.078321,23.4855589,0,0,0,0,0.838769961,9.226469567,0,0,0,0,0,0,32.71202846,0,0,0,0,0,0,0,0,0,0,0,0,0,4.193849803,0,46166.7374,143.4296633,0,0,18.45293913,0,1.677539921,1240.540772,0,0,0,0,0,0,2.516309882,4.193849803,8287.047211,0.838769961,6.710159685,0,1.677539921,0,3.355079843,0.838769961,35.22833835,0,5.032619764,3.355079843,2335.13557,0,78.8443763,5.871389724,4613.234783,1
S9,87.97641059,108029.1671,38.12311126,2237.533376,98.24032516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46627351,0,1.46627351,0,2.93254702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46627351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46627351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.17876953,0,0,1.46627351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.4806503,0,8.797641059,0,0,107.0379662,0,0,0,0,5.865094039,0,79.17876953,0,0,0,4.39882053,149.559898,0,0,10.26391457,8.797641059,0,55.71839337,0,0,0,0,0,0,0,2.93254702,0,0,0,0,0,0,0,0,0,0,5.865094039,13.19646159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73018808,26.39292318,121.7007013,10.26391457,0,0,2.93254702,0,0,7.331367549,0,0,0,0,0,0,61.58348741,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39882053,0,34067.39873,83.57759006,0,0,16.12900861,0,0,1287.388142,0,0,0,0,0,1.46627351,0,1.46627351,13335.75757,0,11.73018808,1.46627351,4.39882053,0,5.865094039,1.46627351,87.97641059,0,10.26391457,5.865094039,2400.289736,0,79.17876953,7.331367549,3080.640644,1
S10,89.56300515,94088.35754,31.46808289,1978.85829,128.2929533,0,0,0,0,0,0,0,0,0,0,0,0,4.841243522,0,0,0,0,2.420621761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21031088,0,0,0,1.21031088,2.420621761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.30523314,0,0,1.21031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.630932641,358.2520206,0,8.472176163,0,0,89.56300515,0,0,0,0,0,1.21031088,88.35269427,1.21031088,0,0,0,139.1857513,0,0,7.261865283,9.682487044,0,64.14647666,0,0,0,0,0,0,1.21031088,12.1031088,0,0,0,1.21031088,0,1.21031088,0,0,1.21031088,0,7.261865283,37.51963729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.630932641,12.1031088,127.0826424,8.472176163,0,0,0,0,0,14.52373057,0,0,0,0,0,0,56.88461138,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1031088,0,54664.90123,165.8125906,0,0,24.20621761,0,1.21031088,1128.009741,0,0,0,0,0,0,0,1.21031088,3866.943263,1.21031088,9.682487044,0,0,0,8.472176163,0,87.14238339,0,14.52373057,6.051554402,2397.625854,0,134.3445077,3.630932641,5508.124817,1
